Pretty_formula,¦Ìe(10^3 cm^2/(V¡¤s)),x,y,¦Ìh(10^3 cm^2/(V¡¤s)),x,y,source
B1N1P2,151.2005291,0.4,151.2,6.160982065,0.11,6.16,DOI: 10.1103/PhysRevMaterials.4.114004
B1N1P2,12.04791268,5.89,10.51,16.78859136,15.82,5.62,DOI: 10.1103/PhysRevMaterials.4.114004
B1N1P2,8.295426451,0.3,8.29,5.675958069,5.67,0.26,DOI: 10.1103/PhysRevMaterials.4.114004
B1N1P2,17.18229903,0.65,17.17,1.053233118,1.03,0.22,DOI: 10.1103/PhysRevMaterials.4.114004
C2Si1S1,16.26099628,4.38,15.66,4.850010309,0.01,4.85,DOI: 10.1103/PhysRevMaterials.4.114004
C2Si1S1,1.692394753,1.69,0.09,0.49244289,0.2,0.45,DOI: 10.1103/PhysRevMaterials.4.114004
Hf1Ge1Te4,1.838477631,1.7,0.7,0.76216796,0.6,0.47,DOI: 10.1103/PhysRevMaterials.5.014005
Hf1Si1Te4,3.461444785,3.1,1.54,0.912359578,0.4,0.82,DOI: 10.1103/PhysRevMaterials.5.014005
Zr1Ge1Te4,1.64195006,1.36,0.92,0.60876925,0.41,0.45,DOI: 10.1103/PhysRevMaterials.5.014005
Zr1Si1Te4,5.827417953,5.58,1.68,0.715891053,0.3,0.65,DOI: 10.1103/PhysRevMaterials.5.014005
Ti1Si1Te4,9.997199608,9.92,1.24,0.585234996,0.32,0.49,DOI: 10.1103/PhysRevMaterials.5.014005
Ti1Ge1Te4,3.124739989,2.98,0.94,0.454532727,0.29,0.35,DOI: 10.1103/PhysRevMaterials.5.014005
Cd1In1Ga1S4,7.01,NA,NA,0.91,NA,NA,DOI: 10.1016/j.jallcom.2020.157220
As2S3,0.296816442,0.25,0.16,0.014142136,0.01,0.01,DOI: 10.1016/j.apsusc.2020.148665
Ge1S1,10.75941448,4.55,9.75,0.281602557,0.27,0.08,DOI: 10.1103/PhysRevMaterials.5.054005
Ge1S1,0.643816744,0.64,0.07,0.144222051,0.08,0.12,DOI: 10.1103/PhysRevMaterials.5.054005
Pd1S1Se1,0.053851648,0.02,0.05,1.054229577,0.83,0.65,DOI: 10.1039/d1tc01245b
Pd1S1Se1,0.014142136,0.01,0.01,2.682685222,2.52,0.92,DOI: 10.1039/d1tc01245b
Pd4S3Se3,0.613269924,0.56,0.25,18.00033611,0.11,18,DOI: 10.1021/acs.chemmater.1c00812
Pd4S3Te3,6.106267272,1.08,6.01,1.155724881,1.14,0.19,DOI: 10.1021/acs.chemmater.1c00812
Pd4Se3Te3,10.16880032,3.73,9.46,0.072801099,0.02,0.07,DOI: 10.1021/acs.chemmater.1c00812
Co1H3,0.031622777,0.01,0.03,0.63007936,0.01,0.63,DOI: 10.1039/d1cp01834e
Rh1H3,0.01,0,0.01,0.251793566,0.03,0.25,DOI: 10.1039/d1cp01834e
Ir1H3,0.067082039,0.03,0.06,0.120415946,0.08,0.09,DOI: 10.1039/d1cp01834e
Sb2Te2Se1,4.950252519,3.45,3.55,0.266270539,0.15,0.22,DOI: 10.1021/acsomega.1c02746
Sb2Te1Se2,3.917779984,2.81,2.73,0.849705831,0.38,0.76,DOI: 10.1021/acsomega.1c02746
B2C1O1,0.01,0,0.01,0.291547595,0.03,0.29,DOI: 10.1002/jcc.26735
B2C1O1,0.161554944,0.06,0.15,0.036055513,0.03,0.02,DOI: 10.1002/jcc.26735
P3S1,11.05387262,1.09,11,2.937107421,0.71,2.85,DOI: 10.1021/acs.jpclett.1c02363
B1P1,85.03421488,49.96,68.81,29.4328473,13.7,26.05,DOI: 10.1039/c6nr02923j
B1As1,69.86735146,39.28,57.78,36.60516357,16.92,32.46,DOI: 10.1039/c6nr02923j
B1Sb1,453.0655336,321.04,319.69,133.7579134,58.37,120.35,DOI: 10.1039/c6nr02923j
P1,0.659469484,0.5,0.43,7.686253964,0.31,7.68,DOI: 10.1021/acs.nanolett.5b05068
P1,0.69584481,0.69,0.09,2.375394704,2.37,0.16,DOI: 10.1103/PhysRevB.94.235306
B1C2N1,22.9899565,22.3,5.59,7.670436754,7.66,0.4,DOI: 10.1021/jz502006z
Ge1C1H3,3.744889852,3.71,0.51,7.118553224,7.07,0.83,DOI: 10.1021/acs.jpclett.5b01848
Sn1Se1,2.403934275,1.17,2.1,1.004191217,0.7,0.72,DOI: 10.1039/c6tc04692d
Sn1S2,0.76,NA,NA,0.18,NA,NA,DOI: 10.1039/c7cp03748a
Sn1Se2,0.46,NA,NA,0.12,NA,NA,DOI: 10.1039/c7cp03748a
F1Ga1N1H1,0.41677332,0.36,0.21,0.281780056,0.25,0.13,DOI: 10.1039/c7cp04117a
H1Ga1N1H1,0.304795013,0.2,0.23,0.01,0.01,0,DOI: 10.1039/c7cp04117a
B1N1C1,24.90629639,0.56,24.9,62.77365371,62.7,3.04,DOI: 10.1088/1361-648X/aa8d9b
B1N1C2,0.067082039,0.03,0.06,1.86024192,0.03,1.86,DOI: 10.1088/1361-648X/aa8d9b
B1N1C3,0.266833281,0.26,0.06,0.781856764,0.73,0.28,DOI: 10.1088/1361-648X/aa8d9b
B1N1C3,4.28122646,0.83,4.2,6.195643631,5.66,2.52,DOI: 10.1088/1361-648X/aa8d9b
B1N1C4,1980.010506,1980,6.45,970.0014897,1.7,970,DOI: 10.1088/1361-648X/aa8d9b
Ge1S1,16.90960969,0.57,16.9,0.125299641,0.11,0.06,DOI: 10.1103/PhysRevB.96.245421
Ge1Se1,4.720190674,0.31,4.71,0.328937684,0.11,0.31,DOI: 10.1103/PhysRevB.96.245421
Sn1S1,1.084066419,0.54,0.94,2.310367936,1.93,1.27,DOI: 10.1103/PhysRevB.96.245421
Sn1Se1,10.56659832,7.63,7.31,0.729177619,0.54,0.49,DOI: 10.1103/PhysRevB.96.245421
Ge1Se1,29.301244,0.27,29.3,0.295465734,0.12,0.27,DOI: 10.1103/PhysRevB.96.245421
P1N1,290.8323938,290.83,1.18,0.221359436,0.21,0.07,DOI: 10.1021/acs.jpcc.7b09650
Sc3C1N1F2,1.387407655,1.35,0.32,1.386217876,0.96,1,DOI: 10.1039/c8ra03424a
Si5,170.0029412,1,170,13.00240362,13,0.25,DOI: 10.1039/c7nr08172c
As2C3,445,NA,NA,1.36,NA,NA,DOI: 10.1039/c8tc04165b
Sb2C3,40.1,NA,NA,0.72,NA,NA,DOI: 10.1039/c8tc04165b
Bi2C3,7.57,NA,NA,0.186,NA,NA,DOI: 10.1039/c8tc04165b
As1B1,27.7,NA,NA,9.04,NA,NA,DOI: 10.1039/c9cp03385h
As1,1.04,NA,NA,0.05,NA,NA,DOI: 10.1039/c9cp03385h
